(992, 0.9505897205432368)
(1001, 0.9453569982148236)
(222, 0.9429784880655439)
(1526, 0.9313502162246228)
(628, 0.9290245618564387)
(567, 0.9289701959101696)
(817, 0.9226818681250282)
(1787, 0.897152525856097)
(168, 0.8922052247455965)
(433, 0.8908098321246858)
(339, 0.8779432248409664)
(1393, 0.874318828423016)
(1102, 0.870925487276711)
(1499, 0.8667075959453223)
(1841, 0.8655976245423258)
(1339, 0.8643290857960436)
(1316, 0.8643290857960431)
(1070, 0.8630605470497613)
(1741, 0.8527536697362182)
(646, 0.8478380820943747)
(1217, 0.8351209811628948)
(1837, 0.8224673071687297)
(613, 0.8199302296761646)
(67, 0.8135875359447536)
(1032, 0.8097819197059064)
(1037, 0.8059763034670602)
(259, 0.8034392259744955)
(160, 0.799887317484905)
(1786, 0.7956694261535163)
(1421, 0.7932909160042372)
(786, 0.7905726186907751)
(108, 0.7869482222728259)
(379, 0.7856796835265435)
(889, 0.7844111447802616)
(1399, 0.7814814243424193)
(1832, 0.7756899408995713)
(1853, 0.7729942960637212)
(218, 0.7717257573174391)
(31, 0.765478203991999)
(1384, 0.7651716404616472)
(512, 0.7487334925410728)
(413, 0.7476235211380762)
(1183, 0.7349381336752533)
(114, 0.7336695949289713)
(1606, 0.7322424888394039)
(1703, 0.7311325174364066)
(673, 0.7298639786901245)
(1098, 0.7258997951079924)
(257, 0.7235212849587134)
(178, 0.7222527462124313)
(1214, 0.718415416504927)
(250, 0.717020023884017)
(634, 0.7015861358042497)
(1465, 0.6979919426897829)
(1278, 0.6966705481624058)
(865, 0.6931782911971947)
(1548, 0.6880022000628102)
(1376, 0.686654377644886)
(552, 0.6843551511672489)
(663, 0.6753168125999877)
(1344, 0.672779735107423)
(804, 0.6702426576148585)
(1639, 0.6689741188685763)
(1365, 0.6688155515252909)
(1488, 0.667705580122294)
(604, 0.6675470127790087)
(145, 0.6650099352864445)
(706, 0.6599357803013152)
(1554, 0.6578109779012925)
(450, 0.6549884791908144)
(1092, 0.6486774989280604)
(725, 0.6474089601817782)
(1452, 0.6474089601817781)
(650, 0.638370621614518)
(1138, 0.6373875040861481)
(196, 0.6358335441219526)
(985, 0.634936474326723)
(1749, 0.633455033972673)
(272, 0.6247021166233254)
(951, 0.6132852679067851)
(544, 0.6128412793455873)
(1161, 0.6117313079425891)
(1621, 0.6106213365395926)
(315, 0.609225943918682)
(1254, 0.6091942304500251)
(14, 0.6066571529574617)
(142, 0.6045323505574376)
(1114, 0.6044054966828094)
